model_id_1,model_id_2,queries,official_internal_bv,candidate_internal_bv,official_root_bv,candidate_primitive_root_bv,official_total_rss,candidate_total_rss,official_triangles,candidate_triangles,distance_filter_skips,containment_filter_checks,containment_filter_skips,axis_filter_checks,axis_filter_skips,official_fp,official_fn,candidate_fp,candidate_fn
26,18,1317,13170,34242,1317,1317,14487,35559,0,1317,0,625575,0,208086,0,0,0,1317,0
30,4,353,0,0,353,353,353,353,0,0,2471,353,0,2471,2471,0,0,0,0
34,4,48,0,0,48,59,48,59,0,0,325,59,0,575,325,0,0,0,0
36,4,542,10,0,542,688,552,688,0,0,3648,688,0,5242,3648,0,0,0,0
37,2,2889,0,0,2889,2889,2889,2889,0,0,20223,2889,0,20223,20223,0,0,0,0
37,3,2889,0,0,2889,2889,2889,2889,0,0,20223,2889,0,20223,20223,0,0,0,0
37,4,2889,0,0,2889,2889,2889,2889,0,0,20223,2889,0,20344,20223,0,0,0,0
37,5,2889,0,0,2889,2889,2889,2889,0,0,20223,2889,0,20237,20223,0,0,0,0
37,17,2889,5778,0,2889,2889,8667,2889,0,0,20223,2889,0,29180,20223,0,0,0,0
37,18,2889,28890,75114,2889,2889,31779,78003,0,2889,0,1372275,0,456462,0,0,0,2889,0
